,,,seed,Адаптер,,,Результат,,
,,Формат датасета,,Дообучен,Скопирован,Опубликован,Вычислен,Скопирован,Сохранен на git
0.6,Qwen0.6-Base,grct,10,4,,,,,
,,,200,5,,,,,
,,,,,,,,,
,,lct,10,4,,,,,
,,,200,5,,,,,
,,,,,,,,,
,Qwen0.6-Instruct,grct,10,12 (4),,,,,
,,,200,13 (5),,,,,
,,,,,,,,,
,,lct,10,12 (4),,,,,
,,,200,13 (5),,,,,
,,,,,,,,,
4,Qwen4-Base,grct,10,4,,,,,
,,,200,,,,,,
,,,,,,,,,
,,lct,10,,,,,,
,,,200,,,,,,
,,,,,,,,,
,Qwen4-Instruct,grct,10,,,,,,
,,,200,,,,,,
,,,3000,,,,,,
,,lct,10,g-01,,,,,
,,,200,g-01,,,,,
,,,3000,g-01,,,,,
,RuAdapt4,grct,10,,,,,,
,,,200,,,,,,
,,,3000,,,,,,
,,lct,10,,,,,,
,,,200,,,,,,
,,,3000,,,,,,
8,Qwen8-Base,grct,10,2,,,,,
,,,200,3,,,,,
,,,,,,,,,
,,lct,10,6,,,,,
,,,200,7,,,,,
,,,,,,,,,
,Qwen8-Instruct,grct,10,10,,,,,
,,,200,11,,,,,
,,,,,,,,,
,,lct,10,14,,,,,
,,,200,15,,,,,
,,,,,,,,,
,RuAdapt8,grct,10,,,,,,
,,,200,,,,,,
,,,,,,,,,
,,lct,10,,,,,,
,,,200,,,,,,
